Time,altitude (ft),Mach,Vt (ft/s),alpha (deg),beta (deg),p (rad/s),q (rad/s),r (rad/s),phi (rad),theta (rad),psi (rad),elevator cmd,elevator (rad),left aileron (rad),right aileron (rad),rudder (rad),flap (rad),weight (lb),engine 0 thrust (lb),engine 1 thrust (lb)
3.9,40001.9323579743505,0.79494356622396023,769.564544254015459,5.40597444932612881,-0.119281059849498855,0.0449992962971752855,0.000880431724545385048,0.00751306998370244398,0.0750866534805585406,0.0961644151689888815,1.58467234647238797,0,-0.0411211214119033552,1.03706867419447786e-05,-1.03706867419447786e-05,0.00307507371617058312,0,9973.44893475184654,488.194644669401328,0
4,40002.1078743264079,0.794761180938920675,769.387981722127961,5.40439413826798898,-0.117498046181440816,0.045547812558576789,0.000804233673690672268,0.00785201275164442054,0.0796829368274728778,0.0961936049445158842,1.58544753564174901,0,-0.0411176603832266938,1.03718651258528014e-05,-1.03718651258528014e-05,0.003201205288175679,0,9973.4347266901641,488.13376789351787,0
4.1,40002.2906178385019,0.794578757558902948,769.211382311466082,5.40250927401864356,-0.116258005381103133,0.0460773923909195415,0.000737405977530377938,0.00818001736382099019,0.0843364765686266393,0.0962092736035789764,1.58625574569112859,0,-0.041112358254480029,1.03730438091853939e-05,-1.03730438091853939e-05,0.00330212610216100043,0,9973.42052040135968,488.072802016096659,0
4.2,40002.4801720902324,0.794396335020341904,769.034783715396884,5.40038232720258904,-0.115489115155204422,0.0465911111946217607,0.000679990109629523558,0.00849658786376905791,0.0890453895336971724,0.0962121039044067233,1.58709582869126486,0,-0.0411055228637129191,1.03742225354375305e-05,-1.03742225354375305e-05,0.00337948632825629119,0,9973.40631588783617,488.01176291515236,0
4.3,40002.6760966926813,0.794213948510833156,768.858219998132199,5.3980723749837356,-0.115117568178946611,0.0470912020695126859,0.000631905637097283229,0.00880170766260772106,0.0938080628700903585,0.0962027918041596375,1.58796661716502419,0,-0.0410974504717131692,1.0375401072463506e-05,-1.0375401072463506e-05,0.00343539479275022184,0,9973.39211315155262,487.950665524966098,0
4.4,40002.8779309913516,0.794031629605373879,768.681721726619458,5.39563459201480278,-0.115070441657676381,0.0475791769255240471,0.000592965340827911885,0.00909574754600954785,0.0986230790091050663,0.0961820315048999425,1.58886696771580205,0,-0.0410884225326052024,1.03765792116610101e-05,-1.03765792116610101e-05,0.00347226118557735939,0,9973.3779121940388,487.889523849164675,0
4.5,40003.0851975493133,0.793849406447328598,768.505316145730603,5.39311986445763303,-0.115277979638755371,0.0480559472470308557,0.000562890092139357694,0.00937937818251543577,0.103489151851616529,0.0961505018890302932,1.58979579537561966,0,-0.0410787031151383444,1.03777567668552907e-05,-1.03777567668552907e-05,0.00349265810247483075,0,9973.36371301642794,487.828350989675528,0
4.6,40003.2974053509533,0.793667303965955861,768.329027388843315,5.39057451701834456,-0.115675324101118956,0.0485219404137442259,0.000541323299537422014,0.00965348936275056864,0.108405074017102837,0.0961088544910187886,1.59075209926417549,0,-0.0410685369251838767,1.03789335729368397e-05,-1.03789335729368397e-05,0.0034992039866461053,0,9973.34951561948583,487.767159189522431,0
4.7,40003.5140526965261,0.793485344122840108,768.15287671640624,5.38804014253311081,-0.116203743352045266,0.0489772084756698797,0.00052784477068389883,0.00991911748772451689,0.113369674652632577,0.096057703101872241,1.59173498034375971,0,-0.0410581478777377329,1.03801094843026347e-05,-1.03801094843026347e-05,0.00349446703297408246,0,9973.3353200036272,487.705959887327879,0
4.8,40003.7346297986805,0.793303546180132546,767.976882775615422,5.38555352347821525,-0.116811414371603903,0.0494215271762226474,0.000521983863398077378,0.0101773822105616415,0.118381787039597314,0.0959976150548773055,1.59274365218012193,0,-0.041047738165830544,1.03812843731476285e-05,-1.03812843731476285e-05,0.00348088933017155246,0,9973.32112616894301,487.6447637811915,0
4.9,40003.958621032536,0.793121926984087788,767.801061874899347,5.3831466348064243,-0.117453820109426607,0.0498544838054389566,0.000523231825976572273,0.0104294326203640628,0.12344022505616567,0.0959291041970810193,1.59377744568616664,0,-0.0410374877738227742,1.03824581276492994e-05,-1.03824581276492994e-05,0.00346072992426471864,0,9973.30693411522407,487.583580900358413,0
5,40004.1855069324374,0.792940501257987429,767.625428267490406,5.38084671770152934,-0.118093823997588082,0.0502755531396285732,0.000531053251419869921,0.0106764029366371912,0.128543767442591911,0.0958526255118336418,1.59483580884362519,0,-0.0410275543833724526,1.03836306500841959e-05,-1.03836306500841959e-05,0.0034360250693253637,0,9973.29274384197379,487.522420681959829,0
